Id Lon Lat Demand[kg] Demand[m^3*10^-3] Duration
D0 2.4092229 48.9252582 0 0 00:00:00
C1 2.3322851 48.8279154 419 4191 00:15:00
C2 2.3987013 48.7936343 563 5631 00:16:00
C3 2.2436503 48.8433982 325 3251 00:12:00
C4 2.3873318 48.8757058 407 4071 00:18:00
C5 2.3376569 48.885404 589 5891 00:10:00
C6 2.3322851 48.8279154 419 4191 00:15:00
C7 2.3987013 48.7936343 563 5631 00:16:00
C8 2.2436503 48.8433982 325 3251 00:12:00
C9 2.3873318 48.8757058 407 4071 00:18:00
C10 2.3376569 48.885404 589 5891 00:10:00
